r2.24,"a,b,c,d,e,f,g,h,i","['0,c:T', '0,d:T', 'a:T', 'b:T', 'e:T', 'g:T', 'f:T', 'i:T', 'h:T']",0.021739,24,r2.16,"a,b,c,d,e,f,g,h,i","['0,f:T', '0,g:T', '0,a:T', 'c:T', 'b:T', 'e:T...",0.021739,,,
r2.25,"a,b,c,d,e,f,g,h,i","['d,e,f,g,h,i,a,b,c:N', 'd,e,f,g,h,i,a,b,c:N']",0.021739,25,r2.17,"a,b,c,d,e,f,g,h,i","['a,b,c,e,f,g,h,i,d:N']",0.021739,,,
r2.26,"a,b,c,d,e,f,g,h,i","['0,b:T', 'a:T', 'c:T', 'e:T', 'd:T', 'g:T', 'f:T', 'i:T', 'h:T']",0.021739,26,r2.18,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,c:T', '0,d:T', 'b,c,d,0,e,f,g,h,i...",0.021739,,,
,,,,27,r2.19,"a,b,c,d,e,f,g,h,i","['0,b:T', 'b,c,d,e,0,g,h,i,a:N', 'f:T']",0.021739,,,
,,,,28,r2.20,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,c:T', '0,f:T', '0,a:T', 'a,b,c,0,...",0.021739,,,
,,,,29,r2.21,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,c:T', '0,g:T', 'd,e,f,0,g,i,a,b,c...",0.021739,,,
,,,,30,r2.22,"a,b,c,d,e,f,g,h,i","['0,d:T', '0,a:T', 'c:T', 'b:T', 'e:T', 'g:T',...",0.021739,,,
,,,,31,r2.23,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,f:T', 'b,0,d,e,f,g,h,i,a:N', 'c:T']",0.021739,,,
,,,,32,r2.24,"a,b,c,d,e,f,g,h,i","['0,c:T', '0,d:T', 'a:T', 'b:T', 'e:T', 'g:T',...",0.021739,,,
,,,,33,r2.25,"a,b,c,d,e,f,g,h,i","['d,e,f,g,h,i,a,b,c:N', 'd,e,f,g,h,i,a,b,c:N']",0.021739,,,
,,,,34,r2.26,"a,b,c,d,e,f,g,h,i","['0,b:T', 'a:T', 'c:T', 'e:T', 'd:T', 'g:T', '...",0.021739,,,
,,,,35,r2.27,"a,b,c,d,e,f,g,h,i","['b,c,d,e,f,g,h,i,a:N']",0.086957,,,
